fecha,descripcion,referencia,valor,moneda_id,cuenta_id,terceroid,grupoid,conceptoid
2025-09-16,Compra ALLIANZ SEGUROS S A Fact MED684994,MED684994,-4225884.0,1,,,,
2025-09-16,Compra CASA FERRETERA S.A.S Fact EMJ33143,EMJ33143,-46200.0,1,,,,
2025-09-16,Compra F2X S.A.S. Fact DEFL56526664,DEFL56526664,-12900.0,1,,,,
2025-09-16,Compra INVERSIONES RAMEJ S.A.S Fact EPOS177448,EPOS177448,-15800.0,1,,,,
2025-09-16,Compra PRICESMART COLOMBIA S.A.S. Fact FECO7332645,FECO7332645,-371600.0,1,,,,
2025-09-10,Compra F2X S.A.S. Fact DEFL55485703,DEFL55485703,-12900.0,1,,,,
2025-09-10,Compra PRICESMART COLOMBIA S.A.S. Fact FECO7196732,FECO7196732,-185199.0,1,,,,
2025-09-08,Compra D1 S A S Fact G5R382921,G5R382921,-27400.0,1,,,,
2025-09-07,Compra F2X S.A.S. Fact DEFL54998555,DEFL54998555,-12900.0,1,,,,
2025-09-05,Compra F2X S.A.S. Fact DEFL54626255,DEFL54626255,-12900.0,1,,,,
2025-09-05,Compra IKSO SAS Fact F50133050,F50133050,-231910.0,1,,,,
2025-09-05,Compra PRICESMART COLOMBIA S.A.S. Fact FECO7090255,FECO7090255,-94300.0,1,,,,
2025-09-04,Compra F2X S.A.S. Fact FLYP8304198,FLYP8304198,-3050.0,1,,,,
2025-09-03,Compra CAPIRO VIVERO S.A.S Fact FE26375,FE26375,-20000.0,1,,,,
2025-08-29,Compra PLANTAS DEL TAMBO S.A.S. Fact FE36441,FE36441,-332200.0,1,,,,
2025-08-27,Compra D1 S A S Fact G5R464915,G5R464915,-124780.0,1,,,,
2025-08-27,Compra F2X S.A.S. Fact DEFL53025907,DEFL53025907,-25000.0,1,,,,
2025-08-27,Compra INVERSIONES RAMEJ S.A.S Fact EPOS170084,EPOS170084,-101000.0,1,,,,
2025-08-27,Compra PRICESMART COLOMBIA S.A.S. Fact FECO6890095,FECO6890095,-157900.0,1,,,,
2025-08-22,Compra D1 S A S Fact G5R380038,G5R380038,-89509.99,1,,,,
2025-08-20,Compra SURAMERICA COMERCIAL S.A.S Fact F3F11205254,F3F11205254,-26000.0,1,,,,
2025-08-19,Compra COOPERATIVA COLANTA Fact 145E84121,145E84121,-48300.0,1,,,,
2025-08-11,Compra COOPERATIVA COLANTA Fact 145E82944,145E82944,-87800.0,1,,,,
2025-08-08,Compra D1 S A S Fact G5R462842,G5R462842,-28340.0,1,,,,
2025-08-06,Compra CRYSTAL S.A.S. Fact HI0250879,HI0250879,-104792.0,1,,,,
2025-08-06,Compra F2X S.A.S. Fact FFLY6865008,FFLY6865008,-6000.0,1,,,,
2025-08-06,Compra PRICESMART COLOMBIA S.A.S. Fact FECO6437368,FECO6437368,-514301.0,1,,,,
2025-08-04,Compra F2X S.A.S. Fact FLYP8095994,FLYP8095994,-1650.0,1,,,,
2025-08-02,Compra CRYSTAL S.A.S. Fact BX02178369,BX02178369,-409864.0,1,,,,
2025-08-02,Compra F2X S.A.S. Fact FFLY6813318,FFLY6813318,-4000.0,1,,,,
2025-07-31,Compra D1 S A S Fact G5R376605,G5R376605,-54689.99,1,,,,
2025-07-31,Compra TECNIPLANTAS Fact POST19490,POST19490,-102267.0,1,,,,
2025-07-30,Compra PLANTAS DEL TAMBO S.A.S. Fact FE35871,FE35871,-730320.0,1,,,,
2025-07-28,Compra COOPERATIVA COLANTA Fact 145E81164,145E81164,-44300.0,1,,,,
2025-07-28,Compra HMO SERVICIO TECNICO S.A.S Fact FC1057,FC1057,-241999.59,1,,,,
2025-07-25,Compra VITELCO DE COLOMBIA S.A.S Fact 1E99224,1E99224,-153557.6,1,,,,
2025-07-24,Compra F2X S.A.S. Fact DEFL46956653,DEFL46956653,-12900.0,1,,,,
2025-07-24,Compra PRICESMART COLOMBIA S.A.S. Fact FECO6155002,FECO6155002,-157900.0,1,,,,
2025-07-16,Compra MATERIALES MAESTRO COLOMBIA SAS Fact FE14491,FE14491,-23500.0,1,,,,
2025-07-12,Compra D1 S A S Fact G9P5157369,G9P5157369,-88830.0,1,,,,
2025-07-12,Compra F2X S.A.S. Fact DEFL44971998,DEFL44971998,-12900.0,1,,,,
2025-07-08,Compra F2X S.A.S. Fact DEFL44239923,DEFL44239923,-12900.0,1,,,,
2025-07-08,Compra PRICESMART COLOMBIA S.A.S. Fact FECO5827315,FECO5827315,-319500.0,1,,,,
2025-07-06,Compra D1 S A S Fact G5R371636,G5R371636,-152250.0,1,,,,
2025-07-04,Compra F2X S.A.S. Fact FLYP7882511,FLYP7882511,-1650.0,1,,,,
2025-07-03,Compra PRICESMART COLOMBIA S.A.S. Fact FECO5681987,FECO5681987,-698452.0,1,,,,
2025-07-01,Compra F2X S.A.S. Fact DEFL42999657,DEFL42999657,-12900.0,1,,,,
2025-07-01,Compra IKSO SAS Fact F50826806,F50826806,-197940.0,1,,,,
2025-06-26,Compra MATERIALES MAESTRO COLOMBIA SAS Fact FE14309,FE14309,-290500.42,1,,,,
2025-06-24,Compra D1 S A S Fact G5R457114,G5R457114,-368729.99,1,,,,
2025-06-24,Compra F2X S.A.S. Fact DEFL41714503,DEFL41714503,-12900.0,1,,,,
2025-06-20,Compra PLANTAS DEL TAMBO S.A.S. Fact FE35094,FE35094,-391320.0,1,,,,
2025-06-17,Compra CASA FERRETERA S.A.S Fact EMJ30862,EMJ30862,-8350.0,1,,,,
2025-06-17,Compra CDA LOS CRISTALES S.A.S. Fact FE27222,FE27222,-309800.13,1,,,,
2025-06-17,Compra F2X S.A.S. Fact DEFL40454385,DEFL40454385,-12900.0,1,,,,
2025-06-17,Compra PRICESMART COLOMBIA S.A.S. Fact FECO5367243,FECO5367243,-157900.0,1,,,,
2025-06-14,Compra D1 S A S Fact G5R368652,G5R368652,-21040.0,1,,,,
2025-06-11,Compra D1 S A S Fact G6R9130997,G6R9130997,-99010.01,1,,,,
2025-06-11,Compra F2X S.A.S. Fact DEFL39456801,DEFL39456801,-12900.0,1,,,,
2025-06-11,Compra FERRETERIA LOS FIERROS Fact A3004BR,A3004BR,-0.0,1,,,,
2025-06-07,Compra VELOCITY FULLCOMMERCE S.A.S Fact FEMC177444,FEMC177444,-244860.0,1,,,,
2025-06-05,Compra AGROFERTIL COLOMBIA S.A.S. Fact FE81743,FE81743,-110595.0,1,,,,
2025-06-04,Compra D1 S A S Fact G1Q661200,G1Q661200,-86740.0,1,,,,
2025-06-04,Compra F2X S.A.S. Fact DEFL38296780,DEFL38296780,-12900.0,1,,,,
2025-06-04,Compra IKSO SAS Fact F50218005,F50218005,-270870.0,1,,,,
2025-06-04,Compra PRICESMART COLOMBIA S.A.S. Fact FECO5095249,FECO5095249,-250599.0,1,,,,
2025-05-27,Compra F2X S.A.S. Fact DEFL37000945,DEFL37000945,-12900.0,1,,,,
2025-05-27,Compra PRICESMART COLOMBIA S.A.S. Fact FECO4917122,FECO4917122,-660301.0,1,,,,
2025-05-21,Compra F2X S.A.S. Fact DEFL36005979,DEFL36005979,-12900.0,1,,,,
2025-05-21,Compra PRICESMART COLOMBIA S.A.S. Fact FECO4791916,FECO4791916,-157900.0,1,,,,
2025-05-13,Compra F2X S.A.S. Fact DEFL34732840,DEFL34732840,-25000.0,1,,,,
2025-05-13,Compra PRICESMART COLOMBIA S.A.S. Fact FECO4628137,FECO4628137,-331900.0,1,,,,
2025-05-12,Compra SOCIEDAD COLOMBIANA DE ORQUIDE Fact FE6438,FE6438,-153000.51,1,,,,
2025-05-11,Compra F2X S.A.S. Fact DEFL34394272,DEFL34394272,-12900.0,1,,,,
2025-05-08,Compra IKSO SAS Fact N1804285,N1804285,-0.0,1,,,,
2025-05-05,Compra F2X S.A.S. Fact FLYP7474864,FLYP7474864,-1500.0,1,,,,
2025-04-30,Compra FALABELLA DE COLOMBIA S A Fact BT0139108,BT0139108,-0.0,1,,,,
2025-04-29,Compra F2X S.A.S. Fact DEFL32450649,DEFL32450649,-12900.0,1,,,,
2025-04-29,Compra PRICESMART COLOMBIA S.A.S. Fact FECO4323838,FECO4323838,-157900.0,1,,,,
2025-04-28,Compra COMPAÑÍA MUNDIAL DE SEGUROS S.A. Fact 014F13100639,014F13100639,-1269000.0,1,,,,
2025-04-23,Compra FALABELLA DE COLOMBIA S A Fact V304252768,V304252768,-311600.0,1,,,,
2025-04-23,Compra IKSO SAS Fact F591229508,F591229508,-408890.0,1,,,,
2025-04-10,Compra COOPERATIVA COLANTA Fact 145E66215,145E66215,-87800.0,1,,,,
2025-04-08,Compra F2X S.A.S. Fact DEFL28904300,DEFL28904300,-12900.0,1,,,,
2025-04-04,Compra F2X S.A.S. Fact FLYP7269056,FLYP7269056,-2100.0,1,,,,
2025-04-02,Compra F2X S.A.S. Fact DEFL27936264,DEFL27936264,-12900.0,1,,,,
2025-04-02,Compra PRICESMART COLOMBIA S.A.S. Fact FECO3776743,FECO3776743,-433101.0,1,,,,
2025-03-29,Compra COMUNICACION CELULAR S A  COMCEL S A Fact PB13898580,PB13898580,-10000.0,1,,,,
