68,2024-08-14,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE8228,34789.92,6610.08,41400.00,2024-08-14 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:38.843484
69,2024-08-16,890904478,COOPERATIVA COLANTA,145E32281,84444.00,6756.00,91200.00,2024-08-16 COOPERATIVA COLANTA.xml,2026-01-10 12:22:38.85723
70,2024-08-20,900833672,AGROFACIL SAS,FE34668,715991.58,136038.42,852030.00,2024-08-20 AGROFACIL SAS.xml,2026-01-10 12:22:38.872487
71,2024-08-20,800242106,SODIMAC COLOMBIA S.A.,4413100269264,125294.12,23805.88,149100.00,2024-08-20 SODIMAC COLOMBIA SA.xml,2026-01-10 12:22:38.885541
72,2024-08-24,890904478,COOPERATIVA COLANTA,145E33490,71111.00,5689.00,76800.00,2024-08-24 COOPERATIVA COLANTA.xml,2026-01-10 12:22:38.899121
73,2024-08-27,890980097,SOCIEDAD COLOMBIANA DE ORQUIDE,FE5700,66294.74,6706.00,73000.74,2024-08-27 SOCIEDAD COLOMBIANA DE ORQUIDE.xml,2026-01-10 12:22:38.915046
74,2024-08-28,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE8479,152087.40,11112.61,163200.01,2024-08-28 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:38.928811
75,2024-09-05,900599105,CAPIRO VIVERO S.A.S,FE14823,140800.00,0.00,133000.00,2024-09-05 CAPIRO VIVERO SAS.xml,2026-01-10 12:22:38.942271
76,2024-09-05,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE8619,7731.07,1468.90,9199.97,2024-09-05 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:38.955548
77,2024-09-06,900219834,F2X S.A.S.,FLYP5814994,73260.50,239.50,73500.00,2024-09-06 F2X SAS.xml,2026-01-10 12:22:38.968443
78,2024-09-10,901739073,INVERSIONES RAMEJ S.A.S,EPOS37021,150400.00,0.00,150400.00,2024-09-10 INVERSIONES RAMEJ SAS.xml,2026-01-10 12:22:38.982929
79,2024-09-11,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE8716,46800.00,0.00,46800.00,2024-09-11 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:38.9999
80,2024-09-19,900599105,CAPIRO VIVERO S.A.S,FE15316,32000.00,0.00,32000.00,2024-09-19 CAPIRO VIVERO SAS.xml,2026-01-10 12:22:39.017826
81,2024-09-19,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE8861,17273.12,526.89,17800.01,2024-09-19 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.034171
82,2024-09-24,900319753,PRICESMART COLOMBIA S.A.S.,FESD14766340,770272.00,99263.00,869535.00,2024-09-24 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.058778
83,2024-09-25,900599105,CAPIRO VIVERO S.A.S,FE15532,37000.00,0.00,37000.00,2024-09-25 CAPIRO VIVERO SAS.xml,2026-01-10 12:22:39.075187
84,2024-10-01,900219834,F2X S.A.S.,DEFL53671,12200.00,0.00,12200.00,2024-10-01 F2X SAS.xml,2026-01-10 12:22:39.089865
85,2024-10-01,900319753,PRICESMART COLOMBIA S.A.S.,FESD14906712,191174.00,21427.00,212601.00,2024-10-01 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.10322
86,2024-10-02,900219834,F2X S.A.S.,FLYP6026004,60400.00,0.00,60400.00,2024-10-02 F2X SAS.xml,2026-01-10 12:22:39.116342
87,2024-10-08,900219834,F2X S.A.S.,DEFL977967,12200.00,0.00,12200.00,2024-10-08 F2X SAS.xml,2026-01-10 12:22:39.129006
88,2024-10-10,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE9275,5882.30,1117.64,6999.94,2024-10-10 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.142524
89,2024-10-18,900219834,F2X S.A.S.,DEFL2502460,23800.00,0.00,23800.00,2024-10-18 F2X SAS.xml,2026-01-10 12:22:39.156462
90,2024-10-23,900219834,F2X S.A.S.,DEFL3059064,12200.00,0.00,12200.00,2024-10-23 F2X SAS.xml,2026-01-10 12:22:39.169759
91,2024-10-23,900319753,PRICESMART COLOMBIA S.A.S.,FECO314977,1303487.00,132804.00,1470888.00,2024-10-23 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.190065
92,2024-10-25,900491405,Vivero el buen sembrador,FELC5121,1863305.00,2394.95,1865699.95,2024-10-25 Vivero el buen sembrador.xml,2026-01-10 12:22:39.203643
93,2024-10-26,900219834,F2X S.A.S.,DEFL3508129,12200.00,0.00,12200.00,2024-10-26 F2X SAS.xml,2026-01-10 12:22:39.217491
94,2024-10-30,900599105,CAPIRO VIVERO S.A.S,FE16661,29500.00,0.00,29500.00,2024-10-30 CAPIRO VIVERO SAS.xml,2026-01-10 12:22:39.231088
95,2024-10-31,901439456,MATERIALES MAESTRO COLOMBIA SAS,FE9753,4700.00,0.00,4700.00,2024-10-31 MATERIALES MAESTRO COLOMBIA SAS.xml,2026-01-10 12:22:39.245705
96,2024-11-05,900219834,F2X S.A.S.,DEFL4805151,12200.00,0.00,12200.00,2024-11-05 F2X SAS.xml,2026-01-10 12:22:39.259091
97,2024-11-06,900219834,F2X S.A.S.,FLYP6302613,3025.20,574.80,3600.00,2024-11-06 F2X SAS.xml,2026-01-10 12:22:39.272268
98,2024-11-08,900036188,PLANTAS DEL TAMBO S.A.S.,FE31130,755730.00,0.00,755730.00,2024-11-08 PLANTAS DEL TAMBO SAS.xml,2026-01-10 12:22:39.28814
99,2024-11-14,890904478,COOPERATIVA COLANTA,145E45129,35556.00,2844.00,38400.00,2024-11-14 COOPERATIVA COLANTA.xml,2026-01-10 12:22:39.301235
100,2024-11-14,900360542,Plataforma  Digital S.A.S.,C25165,1180104.20,224219.80,1404324.00,2024-11-14 Plataforma  Digital SAS.xml,2026-01-10 12:22:39.31493
101,2024-11-19,900219834,F2X S.A.S.,DEFL6831380,12200.00,0.00,12200.00,2024-11-19 F2X SAS.xml,2026-01-10 12:22:39.328945
102,2024-11-19,900319753,PRICESMART COLOMBIA S.A.S.,FECO882482,653410.00,72088.00,725498.00,2024-11-19 PRICESMART COLOMBIA SAS.xml,2026-01-10 12:22:39.349823
103,2024-11-20,900491405,Vivero el buen sembrador,FELC5177,41500.00,0.00,41500.00,2024-11-20 Vivero el buen sembrador.xml,2026-01-10 12:22:39.363707
